Metric,Value,Population,Grain,What it tells us,What it does NOT tell us,records_used,records_excluded,evidence_status
M1 Median Derived Selected Meal Weight,499 g,core_ready_registered_export_sessions,one session key (session_id|registered_export),The typical weight a session recorded across its selected components at the lunch line.,"How much food was actually consumed, left over or wasted; it says nothing about intake.",1697,2,READY_WITH_LIMITATION
M2 P90 Derived Selected Meal Weight,"1,039.6 g",core_ready_registered_export_sessions,one session key (session_id|registered_export),How heavy the heavier selections are (the 90th percentile).,"How much food was actually consumed, left over or wasted; it says nothing about intake.",1697,2,READY_WITH_LIMITATION
M3 Observed Valid Sessions — Registered-Export Population,"1,697 sessions",core_ready_registered_export_sessions,one session key (session_id|registered_export); per service date in the supporting table,How many valid registered-export sessions the export contains.,"Demand, customers, diners, visits, transactions or traffic; it does not measure how busy the restaurant was.",1697,2,READY_WITH_LIMITATION
M4 Median Distinct Normalized Components per Session,5 components,core_ready_registered_export_sessions,one session key (session_id|registered_export),How many distinct component names a typical session recorded.,"Which dishes were chosen, nutritional variety, or how much of anything was eaten.",1697,2,READY_WITH_LIMITATION
M5 Core Measurement Readiness,"99.88% (1,697 / 1,699)",eligible_registered_export_sessions,one session key (session_id|registered_export),What share of the eligible registered-export sessions meet the core readiness criteria.,"That the data, the meals or the measurements are correct or accurate, or that sessions are free of warnings.",1697,2,READY_WITH_LIMITATION
S1 Weather Context Coverage,"99.88% (1,697 / 1,699)",eligible_registered_export_sessions,one session key (session_id|registered_export),Whether a weather observation is available for the session's hour.,"That weather affected weight, dining behaviour or anything else.",1697,2,READY_WITH_LIMITATION
S2 Warn-Free Rate,"97.88% (1,663 / 1,699)",eligible_registered_export_sessions,one session key (session_id|registered_export),How many eligible sessions carry no session-level warning.,"Whether the data is correct, or that flagged sessions are wrong (a WARN is a diagnostic flag).",1663,36,READY_WITH_LIMITATION
W1 Direct Food Waste Measurement,BLOCKED / SOURCE GAP,n/a,n/a,That direct waste data exists conceptually and is not publicly available here.,"Any amount of food waste, consumption, or leftovers, or any ratio to selected weight.",,,BLOCKED
Q Quarantined session keys,4 keys (2 session ids),all_observed_sessions,one session key,"Session ids present in both exports are kept in every table, listed, and excluded from the KPIs; neither version is preferred.","That either version is correct, or that the remaining sessions are free of problems.",4,,READY_WITH_LIMITATION
V Observed volume regime flags (flag only),35 service days; 16 low-volume; 6 differ from the weekday baseline,core_ready_registered_export_sessions,one service date x population,On some days the observed volume regime differs from that weekday's baseline regime; every such day stays included.,"Demand, or that those days are data errors; the cause is unresolved.",35,0,READY_WITH_LIMITATION
