scenario_id,group,name,assumption_changed,baseline_assumption,alternative_assumption,rationale,affected_tables,affected_population,metrics_recalculated,sessions,m1_g,m2_g,m3_sessions,m4_components,m5_pct,m5_numerator,m5_denominator,s2_pct,d_m1_g,pct_d_m1_g,d_m2_g,pct_d_m2_g,d_m3_sessions,pct_d_m3_sessions,d_m4_components,pct_d_m4_components,d_m5_pct,pct_d_m5_pct,d_s2_pct,pct_d_s2_pct,defensible,diagnostic_only,forbidden,interpretation,decision_impact,worst_robustness_class,reference_status,detail
S00,baseline,Approved baseline,none,"the approved baseline (registered-export core-ready sessions, crossover quarantined, exact repeats left out of sums, file-specific +3h)","the approved baseline (registered-export core-ready sessions, crossover quarantined, exact repeats left out of sums, file-specific +3h)",The frozen approved interpretation; every other scenario is compared with it.,fact_dining_session,registered_export,M1;M2;M3;M4;M5;S2,1697,499.0,1039.6,1697,5.0,99.882,1697,1699,97.881,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,"The approved metric package (M1 499 g, M2 1,039.6 g, M3 1,697, M4 5, M5 99.88%, S2 97.88%).",none: this is the baseline,STABLE,reproduced,{}
S01,crossover,Crossover sessions included (both),crossover session treatment,session2266 and session3222 are quarantined in both populations,both registered-export versions are counted as ordinary sessions,What if the quarantine were lifted? Shows the effect is small on weights and that readiness would be 100% only because the check was removed.,fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4;M5;S2,1699,499.0,1042.4,1699,5.0,100.0,1699,1699,97.94,0.0,0.0,2.8,0.269,2,0.118,0.0,0.0,0.118,0.118,0.059,0.06,false,true,false,"M1, M2 and M4 barely move; M5 rises to 100% only because the quarantine is lifted, which is not a valid readiness figure.",none: the quarantine stays; M5 must never be reported this way,STABLE,reproduced,"{""sessions_added"": [""session2266|registered_export"", ""session3222|registered_export""]}"
S02,crossover,Only session2266 included,crossover session treatment,quarantined,session2266 (an exact cross-export duplicate) counted once in the registered-export population,Isolates the exact duplicate: it would add a second copy of one tray pass.,fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4;M5;S2,1698,499.0,1039.2,1698,5.0,99.941,1698,1699,97.94,0.0,0.0,-0.4,-0.038,1,0.059,0.0,0.0,0.059,0.059,0.059,0.06,false,true,false,Adds a duplicate tray pass; effect on weights is negligible.,none,STABLE,reproduced,"{""sessions_added"": [""session2266|registered_export""]}"
S03,crossover,Only session3222 included,crossover session treatment,quarantined,session3222 (a version conflict between the exports) counted in the registered-export population,Isolates the version-conflict session.,fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4;M5;S2,1698,499.5,1042.6,1698,5.0,99.941,1698,1699,97.881,0.5,0.1,3.0,0.289,1,0.059,0.0,0.0,0.059,0.059,0.0,0.0,false,true,false,One conflicted session moves M2 by about 3 g.,none,STABLE,reproduced,"{""sessions_added"": [""session3222|registered_export""]}"
S04,outlier,"2,097 g session removed",treatment of the largest observation,"the session holding the 2,097 g event stays in the population",that whole session is left out (analytic only),"The 2,097 g event is an UNUSUAL observation, not an INVALID one. Tests whether it drives the result.",fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4,1696,499.0,1038.0,1696,5.0,,,,,0.0,0.0,-1.6,-0.154,-1,-0.059,0.0,0.0,,,,,true,true,false,Removing the session shifts M2 by about -1.6 g: the observation is immaterial.,none: the event stays in canonical data and in the baseline,STABLE,reproduced,"{""session"": ""session2104|registered_export"", ""sessions_removed"": 1}"
S05,outlier,"2,097 g event removed (session kept)",treatment of the largest observation,the event counts in its session's weight,only that event is dropped from its session's weight,Separates the event from the session.,fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4,1697,499.0,1038.0,1697,5.0,,,,,0.0,0.0,-1.6,-0.154,0,0.0,0.0,0.0,,,,,true,true,false,Same effect on M2 as removing the session.,none,STABLE,reproduced,"{""event_weight_removed_g"": 2097}"
S06,outlier,Exclude outside data percentiles P0.5-P99.5,outlier bounds,"no exclusion (B07 [50, 2,200] g is a flag only)",sessions outside the data's own 0.5th and 99.5th percentiles are left out,Compares a data-driven bound with the approved fixed bound.,fact_dining_session,registered_export,M1;M2;M3;M4,1679,499.0,1017.0,1679,5.0,,,,,0.0,0.0,-22.6,-2.174,-18,-1.061,0.0,0.0,,,,,true,true,false,Trimming the tails lowers M2 by about 2%.,none: exclusion is diagnostic,STABLE,reproduced,"{""hi_g"": 2156.4399999999996, ""lo_g"": 55.88, ""sessions_removed"": 18}"
S07,outlier,Exclude outside the approved B07 range,outlier bounds,"B07 flags sessions outside [50, 2,200] g but keeps them",the B07-flagged sessions are left out,What if the diagnostic B07 flag were an exclusion rule?,fact_dining_session,registered_export,M1;M2;M3;M4,1682,499.0,1020.5,1682,5.0,,,,,0.0,0.0,-19.1,-1.837,-15,-0.884,0.0,0.0,,,,,true,true,false,Lowers M2 by about 2%.,none: B07 stays a flag,STABLE,reproduced,"{""hi_g"": 2200, ""lo_g"": 50, ""sessions_removed"": 15}"
S08,outlier,Exclude single-event sessions (B04),session completeness,single-event sessions are kept,sessions with one weighing event are left out,The 17 single-event sessions are a diagnostic population; do they drive M1?,fact_dining_session,registered_export,M1;M2;M3;M4,1680,501.0,1044.2,1680,5.0,,,,,2.0,0.401,4.6,0.442,-17,-1.002,0.0,0.0,,,,,true,true,false,"M1 +2 g, M2 +4.6 g.",none: B04 stays a flag,STABLE,reproduced,"{""sessions_removed"": 17}"
S09,outlier,Exclude long sessions (T05),session span,sessions with a span over 600 s are kept,those sessions are left out,Long spans may merge two tray passes; do they drive the result?,fact_dining_session,registered_export,M1;M2;M3;M4,1690,498.0,1037.1,1690,5.0,,,,,-1.0,-0.2,-2.5,-0.24,-7,-0.412,0.0,0.0,,,,,true,true,false,Effect below 3 g.,none: T05 stays a flag,STABLE,reproduced,"{""sessions_removed"": 7}"
S10,outlier,Exclude every session with any WARN,warning treatment,WARN findings never remove a session,sessions with a session-level or event-level WARN are left out,What if every flagged session were excluded? Also shows why M5 and S2 differ.,fact_dining_session,registered_export,M1;M2;M3;M4,1660,499.5,1015.0,1660,5.0,,,,,0.5,0.1,-24.6,-2.366,-37,-2.18,0.0,0.0,,,,,true,true,false,M2 falls by about 25 g (2.4%): flagged sessions are somewhat heavier.,none: a WARN never excludes,STABLE,reproduced,"{""sessions_removed"": 37}"
TZ0,timezone,Suspect export shifted by +0h,timezone of the suspect registered export,"the file-specific +3h normalization (strongest-supported, not source-confirmed)",the same file shifted by +0h from its raw wall-clock times (all other files unchanged; service-hours rule T03 applied),"The source does not confirm the timezone metadata. The offset is tested across the plausible range, only on the named file.",fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4;M5;S2,1394,505.0,989.1,1394,5.0,82.048,1394,1699,80.283,6.0,1.202,-50.5,-4.858,-303,-17.855,0.0,0.0,-17.834,-17.855,-17.599,-17.98,false,false,false,Raw times are before service hours for many sessions: T03 quarantines 303 of them and M5 falls to 82.05%.,none: contradicted by the cross-export and hour-of-day evidence,CONDITIONAL,reproduced,"{""files_shifted"": [""registered_2020_10_05-2020_10_18.csv""], ""t03_quarantined_sessions"": 303, ""tz_offset_hours"": 0}"
TZ1,timezone,Suspect export shifted by +1h,timezone of the suspect registered export,"the file-specific +3h normalization (strongest-supported, not source-confirmed)",the same file shifted by +1h from its raw wall-clock times (all other files unchanged; service-hours rule T03 applied),"The source does not confirm the timezone metadata. The offset is tested across the plausible range, only on the named file.",fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4;M5;S2,1594,498.5,1019.5,1594,5.0,93.82,1594,1699,91.878,-0.5,-0.1,-20.1,-1.933,-103,-6.07,0.0,0.0,-6.062,-6.07,-6.004,-6.133,false,false,false,Still leaves 103 sessions outside service hours.,none: contradicted by the evidence,CONDITIONAL,reproduced,"{""files_shifted"": [""registered_2020_10_05-2020_10_18.csv""], ""t03_quarantined_sessions"": 103, ""tz_offset_hours"": 1}"
TZ2,timezone,Suspect export shifted by +2h,timezone of the suspect registered export,"the file-specific +3h normalization (strongest-supported, not source-confirmed)",the same file shifted by +2h from its raw wall-clock times (all other files unchanged; service-hours rule T03 applied),"The source does not confirm the timezone metadata. The offset is tested across the plausible range, only on the named file.",fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4;M5;S2,1697,499.0,1039.6,1697,5.0,99.882,1697,1699,97.881,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,No session leaves service hours; KPIs identical to +3h (weights do not depend on the clock). Only the weather join and hour-of-day differ.,"none: KPIs cannot separate +2h, +3h and +4h; the cross-export evidence selects +3h",STABLE,reproduced,"{""files_shifted"": [""registered_2020_10_05-2020_10_18.csv""], ""t03_quarantined_sessions"": 0, ""tz_offset_hours"": 2}"
TZ3,timezone,Suspect export shifted by +3h,timezone of the suspect registered export,"the file-specific +3h normalization (strongest-supported, not source-confirmed)",the same file shifted by +3h from its raw wall-clock times (all other files unchanged; service-hours rule T03 applied),"The source does not confirm the timezone metadata. The offset is tested across the plausible range, only on the named file.",fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4;M5;S2,1697,499.0,1039.6,1697,5.0,99.882,1697,1699,97.881,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,"The approved baseline offset, reproduced.",none: this is the baseline,STABLE,reproduced,"{""files_shifted"": [""registered_2020_10_05-2020_10_18.csv""], ""t03_quarantined_sessions"": 0, ""tz_offset_hours"": 3}"
TZ4,timezone,Suspect export shifted by +4h,timezone of the suspect registered export,"the file-specific +3h normalization (strongest-supported, not source-confirmed)",the same file shifted by +4h from its raw wall-clock times (all other files unchanged; service-hours rule T03 applied),"The source does not confirm the timezone metadata. The offset is tested across the plausible range, only on the named file.",fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4;M5;S2,1697,499.0,1039.6,1697,5.0,99.882,1697,1699,97.881,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,KPIs identical to +3h; the file's first events would be about 1.5 h later than the other exports'.,"none: KPIs cannot separate +2h, +3h and +4h; the cross-export evidence selects +3h",STABLE,reproduced,"{""files_shifted"": [""registered_2020_10_05-2020_10_18.csv""], ""t03_quarantined_sessions"": 0, ""tz_offset_hours"": 4}"
S20,volume,Exclude the six volume-irregularity days,irregular-volume days,the six days whose observed volume regime differs from the weekday baseline stay included,those days are left out (diagnostic test only),"Irregularity is a regime finding, not proof of corrupt data. Tests whether those days drive the profile.",fact_dining_session;fact_daily_volume,registered_export,M1;M2;M3;M4,1445,505.0,1066.0,1445,5.0,,,,,6.0,1.202,26.4,2.539,-252,-14.85,0.0,0.0,,,,,true,true,false,Removes 252 sessions; M2 +26.4 g (2.5%).,none: the flag never excludes,SENSITIVE,reproduced,"{""sessions_removed"": 252}"
S21,volume,Exclude 2020-11-16 to 2020-11-20,final week,the final week is included,the final week is left out (diagnostic test only),Four of the six irregular days fall in this week.,fact_dining_session,registered_export,M1;M2;M3;M4,1530,499.5,1052.1,1530,5.0,,,,,0.5,0.1,12.5,1.202,-167,-9.841,0.0,0.0,,,,,true,true,false,Effect below 15 g on M2.,none,SENSITIVE,reproduced,"{""sessions_removed"": 167}"
S22,volume,Exclude the 16 low-observed-volume days,low-volume days,low-volume days are included,the 16 registered-export days under 30 sessions are left out (diagnostic test only),Low-volume days follow the weekday pattern (Thursday and Friday).,fact_dining_session;fact_daily_volume,registered_export,M1;M2;M3;M4,1507,493.0,1053.0,1507,5.0,,,,,-6.0,-1.202,13.4,1.289,-190,-11.196,0.0,0.0,,,,,true,true,false,"M1 -6 g, M2 +13.4 g.",none,SENSITIVE,reproduced,"{""sessions_removed"": 190}"
S23,period,Period sensitivity: exclude the first two weeks,study period,the full 2020-10-05 to 2020-11-20 window,"2020-10-05 to 2020-10-16 is left out (period sensitivity, not a correction)",The first two weeks are the period of the +3h file and of cross-export name disagreement. Not called bad data; tests whether the profile is period dependent.,fact_dining_session,registered_export,M1;M2;M3;M4,1312,505.0,977.0,1312,5.0,,,,,6.0,1.202,-62.6,-6.022,-385,-22.687,0.0,0.0,,,,,true,true,false,M2 falls by 62.6 g (6%): the upper end of the distribution is period dependent; M1 and M4 are not.,M2 is described as period sensitive; the baseline window stays,CONDITIONAL,reproduced,"{""sessions_removed"": 385}"
S30,definition,M4 with raw component names,component identity,"components are compared after trim, whitespace collapse and case-fold",components are compared as written,Tests whether the (deliberately minimal) normalization matters.,fact_dining_session;fact_weighing_event,registered_export,M4,1697,499.0,1039.6,1697,5.0,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,true,true,false,M4 unchanged.,none,STABLE,reproduced,"{""m4_definition"": ""raw_names""}"
S31,definition,M4 counted as distinct scales,component identity,distinct normalized component names,distinct scales per session,A name-free variant of breadth.,fact_dining_session;fact_weighing_event,registered_export,M4,1697,499.0,1039.6,1697,5.0,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,true,true,false,M4 unchanged.,none,STABLE,reproduced,"{""m4_definition"": ""scales""}"
S32,definition,M4 counted as weighing events,component identity,distinct normalized component names,weighing events per session,The crudest variant of breadth.,fact_dining_session;fact_weighing_event,registered_export,M4,1697,499.0,1039.6,1697,5.0,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,true,true,false,M4 unchanged.,none,STABLE,reproduced,"{""m4_definition"": ""events""}"
S33,definition,Exact duplicate rows summed,duplicate handling,exact repeat rows are left out of sums,exact repeat rows are summed,Shows what the duplicate rule protects against (one repeated 67 g row).,fact_dining_session;fact_weighing_event,registered_export,M1;M2;M3;M4,1697,499.0,1039.6,1697,5.0,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,false,true,false,No headline effect; the rule matters for one session.,none: exact repeats stay excluded,STABLE,reproduced,"{""duplicates"": ""summed""}"
