Question,Baseline evidence,Sensitivity tested,Observed range/change,Robustness,What can be concluded,What cannot be concluded,Next evidence needed
Can a selected-meal-weight distribution be reconstructed from the available component weighing events?,"Weights of all 3,341 non-quarantined sessions were reconstructed independently and equal the validation working value; M1 499 g and M2 1,039.6 g.","Duplicate handling (S33), removal of the largest observation (S04, S05), outlier bounds (S06, S07).","M1: S04 +0.00, S05 +0.00, S33 +0.00; M2: S04 -1.60, S05 -1.60, S33 +0.00",STABLE,A distribution of DERIVED selected meal weight (the sum of what was weighed at the line per session) can be reconstructed for the registered-export population.,That the distribution describes what was eaten or wasted.,A source of consumed or discarded weight per tray.
Is the median derived selected meal weight of the same order of magnitude under reasonable scenarios?,Baseline M1 499 g.,"All registered-export scenarios: crossover, outliers, timezone, period, volume days, definitions.",M1 499.0 -> 493.0 to 505.0,STABLE,Median derived selected meal weight is about 500 g under every registered-export scenario tested.,That the median is a portion size that was eaten.,Longer observation window; a second site.
How stable is the upper end of the distribution (P90)?,"Baseline M2 1,039.6 g.",All registered-export scenarios.,"M2 1,039.6 -> 977.0 to 1,066.0",SENSITIVE,"P90 stays near 1,000-1,070 g, but moves by up to about 60 g (6%) with the study period and with the timezone hypothesis.",A precise P90: it should be quoted with its range and its dependence on the period.,"A longer window, to see whether the first two weeks are unusual."
Does the component-count result remain stable?,Baseline M4 5 components.,"All registered-export scenarios and three alternative definitions (raw names, distinct scales, weighing events).",M4 5.0 -> 5.0 to 5.0,STABLE,"The typical session records five distinct component names, however breadth is counted.","Which dishes were chosen, or that different names are different dishes.",A component master list to replace string matching.
Is the registered-export valid-session count and readiness stable to the timezone and crossover assumptions?,"Baseline M3 1,697 sessions; M5 99.88% (1,697 / 1,699).","Timezone of the suspect export (+0h to +4h, that file only) and the crossover sessions.","M3: S01 +2.00, S02 +1.00, S03 +1.00, TZ0 -303.00, TZ1 -103.00, TZ2 +0.00, TZ3 +0.00, TZ4 +0.00; M5: S01 +0.12, S02 +0.06, S03 +0.06, TZ0 -17.83, TZ1 -6.06, TZ2 +0.00, TZ3 +0.00, TZ4 +0.00",CONDITIONAL,"Under +2h, +3h and +4h the count and readiness are identical; the count and M5 fall sharply only if the file is treated as un-shifted or shifted by 1 h, which the evidence contradicts.",That readiness is high for a reason other than the few ERROR-level findings; lifting the quarantine (100%) is not a valid readiness figure.,Confirmation of the timezone metadata from the source owner.
Does the treatment of the two crossover sessions change any conclusion?,Both crossover session ids are quarantined in both populations; neither version is preferred.,"Including both, or either, registered-export version (what-if only).","M1: S01 +0.00, S02 +0.00, S03 +0.50; M2: S01 +2.80, S02 -0.40, S03 +3.00; M4: S01 +0.00, S02 +0.00, S03 +0.00",STABLE,No conclusion changes: the largest effect is about 3 g on M2.,That either version is correct. M5 rising to 100% is an artifact of lifting the quarantine.,The source owner's account of which version is authoritative.
Do the six irregular-volume days change the measurement profile?,Six registered-export days have an observed volume regime that differs from the weekday baseline; all are kept.,"Excluding those days, the last week, or the low-volume days (diagnostic only).","M1: S20 +6.00, S21 +0.50, S22 -6.00; M2: S20 +26.40, S21 +12.50, S22 +13.40; M4: S20 +0.00, S21 +0.00, S22 +0.00",SENSITIVE,M1 and M4 are unchanged in practice; M2 moves by up to about 26 g when those days are left out.,"That the irregular days are errors, or what caused them. Volume flags never exclude.","Operational records (menu, closures, events) for those days."
Does the study period matter (the first two weeks)?,The first two weeks contain the +3h-normalized export and the cross-export name disagreement.,"Excluding 2020-10-05 to 2020-10-16 (period sensitivity, not a correction).",M1: S23 +6.00; M2: S23 -62.60; M4: S23 +0.00,SENSITIVE,M1 and M4 do not depend on the period; M2 is period sensitive (about -63 g).,That the first two weeks are bad data.,More weeks of data.
"Is the 2,097 g observation influential?","One event of 2,097 g in session2104 is kept and modellable.",Removing the event or its session (analytic only).,"M1: S04 +0.00, S05 +0.00; M2: S04 -1.60, S05 -1.60; M4: S04 +0.00, S05 +0.00",STABLE,"It is an unusual observation, not an invalid one, and it moves M2 by about 1.6 g.",Whether the value is a scale artifact or a real portion.,Scale calibration or tray photographs.
Should the warn-free rate be read as a second readiness score?,S2 97.88% versus M5 99.88%; the event-level diagnostic is 97.70%.,Excluding every session with any WARN.,M1: S10 +0.50; M2: S10 -24.60,STABLE,No: a WARN is a diagnostic flag that never removes a session; excluding flagged sessions moves M2 by about -25 g.,That flagged sessions are wrong or that S2 measures accuracy.,Ground-truth checks on a sample of flagged sessions.
"Which timezone does the suspect export use, and do the KPIs decide it?",A +3h file-specific normalization is the strongest-supported engineering decision; the source does not confirm the timezone metadata.,+0h to +4h on that file only.,"M1: TZ0 +6.00, TZ1 -0.50, TZ2 +0.00, TZ3 +0.00, TZ4 +0.00; M2: TZ0 -50.50, TZ1 -20.10, TZ2 +0.00, TZ3 +0.00, TZ4 +0.00; M3: TZ0 -303.00, TZ1 -103.00, TZ2 +0.00, TZ3 +0.00, TZ4 +0.00; M4: TZ0 +0.00, TZ1 +0.00, TZ2 +0.00, TZ3 +0.00, TZ4 +0.00; M5: TZ0 -17.83, TZ1 -6.06, TZ2 +0.00, TZ3 +0.00, TZ4 +0.00",CONDITIONAL,"The KPIs cannot separate +2h, +3h and +4h; the time-of-day evidence places only +3h inside the band of the other exports. Weather-hour joins depend on the choice.","That +3h is confirmed by the source, or that it is a general Helsinki rule.",The source owner's confirmation.
Can actual consumption be determined from selected meal weight alone?,Consumed quantity is UNKNOWN in the semantic chain.,None: a sensitivity analysis cannot create consumption data.,not testable: required evidence is unavailable,BLOCKED,Nothing about consumption.,"Any amount consumed, left over or eaten.",A measurement of what remains on the tray (or a plate-weight system) linked by tray id.
Can food waste be measured from the accessible data?,W1 is BLOCKED / SOURCE GAP.,"None: no lower or upper waste bound, band or proxy is produced.",not testable: required source is not public,BLOCKED,That waste is not measurable from the accessible data.,"Any waste amount, potential waste, waste band or ratio.","Per-tray waste weight with tray_id, waste timestamp and waste point, joinable to lunch-line trays."
