check_id,area,description,expected,observed,status,basis
MC01,populations,A all observed | B non-quarantined modelled | C eligible registered-export | D core-ready registered-export | E non-registered-export,,3345 | 3341 | 1699 | 1697 | 1646,INFO,reported
MC02,populations,populations are never pooled: A = C + E and C and E share no session key,"(3345, 0)","(3345, 0)",PASS,identity
MC03,populations,the quarantined session keys are exactly the sessions of A that are not in B,"['session2266|non_registered_export', 'session2266|registered_export', 'session3222|non_registered_export', 'session3222|registered_export']","['session2266|non_registered_export', 'session2266|registered_export', 'session3222|non_registered_export', 'session3222|registered_export']",PASS,"validation quarantine, via the model"
MC04,populations,every quarantined registered-export session stays inside the eligible population C (the M5 denominator is not shrunk),2,2,PASS,approved denominator rule
MC05,populations,no quarantined session is in the measurement population D,0,0,PASS,quarantine policy
MC06,weights,every session in D has a canonical weight: no NULL is dropped silently,0,0,PASS,null handling
MC07,weights,each D session's weight equals the sum of its MODELLABLE event weights in fact_weighing_event,[],[],PASS,canonical event fact
MC08,weights,"D sessions whose weight would differ if exact repeats were summed (proves repeats are excluded, not double counted)",,1,INFO,reported
MC09,weights,D sessions that weighed the same scale more than once (repeats that are not exact duplicates stay additive),,212,INFO,reported
MC10,weights,"the largest single event (2097 g, registered_2020_10_05-2020_10_18.csv#1344) is preserved and modellable; its session keeps its weight",True,True,PASS,"2,097 g preservation"
MC11,weights,"the independent standard-library percentile (statistics.quantiles, inclusive) equals the linear-interpolation P90",1039.6,1039.6,PASS,independent method
MC12,weights,the independent standard-library median equals the median used,499,499.0,PASS,independent method
MC13,components,distinct components counted from fact_session_component equal distinct_component_count for every D session,[],[],PASS,canonical component fact
MC14,components,raw and normalised distinct component counts do not differ within any D session (profiling property),[],[],PASS,approved profiling finding
MC15,components,no component row is attached to a session of another population (no pooling),0,0,PASS,population separation
MC16,volume,registered-export daily sessions in fact_daily_volume equal M3 per date and in total,"{'2020-10-05': 41, '2020-10-06': 51, '2020-10-07': 65, '2020-10-08': 9, '2020-10-09': 4, '2020-10-12': 61, '2020-10-13': 75, '2020-10-14': 71, '2020-10-15': 2, '2020-10-16': 6, '2020-10-19': 86, '2020-10-20': 87, '2020-10-21': 70, '2020-10-22': 5, '2020-10-23': 10, '2020-10-26': 88, '2020-10-27': 100, '2020-10-28': 88, '2020-10-29': 7, '2020-10-30': 12, '2020-11-02': 14, '2020-11-03': 95, '2020-11-04': 107, '2020-11-05': 18, '2020-11-06': 83, '2020-11-09': 80, '2020-11-10': 94, '2020-11-11': 69, '2020-11-12': 18, '2020-11-13': 14, '2020-11-16': 22, '2020-11-17': 19, '2020-11-18': 18, '2020-11-19': 12, '2020-11-20': 96}","{'2020-10-05': 41, '2020-10-06': 51, '2020-10-07': 65, '2020-10-08': 9, '2020-10-09': 4, '2020-10-12': 61, '2020-10-13': 75, '2020-10-14': 71, '2020-10-15': 2, '2020-10-16': 6, '2020-10-19': 86, '2020-10-20': 87, '2020-10-21': 70, '2020-10-22': 5, '2020-10-23': 10, '2020-10-26': 88, '2020-10-27': 100, '2020-10-28': 88, '2020-10-29': 7, '2020-10-30': 12, '2020-11-02': 14, '2020-11-03': 95, '2020-11-04': 107, '2020-11-05': 18, '2020-11-06': 83, '2020-11-09': 80, '2020-11-10': 94, '2020-11-11': 69, '2020-11-12': 18, '2020-11-13': 14, '2020-11-16': 22, '2020-11-17': 19, '2020-11-18': 18, '2020-11-19': 12, '2020-11-20': 96}",PASS,canonical daily volume
MC17,readiness,M5's denominator equals the registered-export session keys counted before any removal,1699,1699,PASS,approved denominator rule
MC18,readiness,S2 accounting: warn-free + with a session-level WARN + not core-ready = eligible,1699,1699,PASS,"approved reconciliation (1,663 + 34 + 2 = 1,699)"
MC19,readiness,M3 (count of D) equals M5's numerator,1697,1697,PASS,identity
MC20,readiness,eligible registered-export session ids | quarantined among them,,1699 | 2,INFO,reported
MC21,weather,fact_weather has one row per station and UTC hour,1129,1129,PASS,identity
MC22,weather,session weather_join_status counts over the eligible population,,MATCHED=1697;NOT_ATTEMPTED_QUARANTINED=2,INFO,reported
MC23,weather,"sessions whose matched hour has a NULL r_1h | NULL ri_10min (never filled, never zero)",,67 | 25,INFO,reported
MC24,semantics,"no canonical column and no metric id is named for waste, consumption, intake or leftovers (W1 is the blocked evidence row)",[],[],PASS,semantic chain
