uncertainty_id,assumption,why_it_matters,current_evidence,sensitivity_result,impact_level,affected_metrics,current_disposition,evidence_that_would_resolve
U01,"Suspect export timezone: the file's timestamps are 3 hours early (a +3h, file-specific normalization).","It sets the time of day, the service-hours rule, the weather join and readiness for 385 sessions.","An exact 10,800 s difference on the shared session3222; median first-event hour 7.54 h raw and 10.54 h after +3h against 10.53 h for the other registered-export files. Not source-confirmed.",+2h/+3h/+4h give identical M1-M5; +0h quarantines 303 sessions (M5 82.05%); +1h quarantines 103 (M5 93.82%).,HIGH,M5;S2;weather join,"Retained as +3h, file-specific; labelled NORMALISED_PLUS_3H_STRONGEST_SUPPORT",The source owner's confirmation of the export timezone.
U02,Population labels (registered-export / non-registered-export) come from file names and mean only that.,Pooling the populations changes every headline number and would confound a business reading.,The exports differ in weight (median 499 g versus 192 g) and structure; the labels are not interpreted.,"The diagnostic non-registered-export profile is M1 192 g, M2 855.4 g, M4 2; the forbidden pooled comparison gives M1 413 g (a population-mix artifact).",HIGH,M1;M2;M3;M4;M5,Never pooled; the registered-export population is the measurement population,The data owner's definition of the two exports.
U03,Crossover sessions: two session ids present in both exports are quarantined rather than resolved.,Lifting the quarantine would make readiness look perfect.,"session2266 is identical in both exports; session3222 differs by 10,800 s and two component names.",Including both changes M2 by +2.8 g and M5 to 100.0% only because the check is removed.,LOW,M3;M5,Quarantined in both populations; listed; never deleted,Which version is authoritative.
U04,"Component identity is the trimmed, whitespace-collapsed, case-folded name; there is no alias table.","M4 counts names; language variants of one dish would count twice, different dishes with similar names must not merge.",246 raw and 245 normalized names; the two exports disagree on names for 86 scale-days in the first two weeks.,"M4 is 5 with raw names, 5 counting scales and 5 counting weighing events.",LOW,M4,String normalization only; component comparison across exports is limited,A component master list.
U05,Six days whose observed volume regime differs from the weekday baseline are real observations.,"They could reflect operations, closures or export coverage; excluding them is tempting but unjustified.","The baseline weeks separate perfectly (Monday-Wednesday high, Thursday-Friday low); the cause of the six exceptions is unresolved.","Excluding them removes 252 sessions and moves M2 by +26.4 g (+2.5%), M1 by +6 g.",MEDIUM,M2;M3,Flag only; retained; M3 is not demand,Operational records for those dates.
U06,"Derived selected meal weight is what was weighed at the line, not what was eaten.",It is easy to read a selected weight as consumption.,The data records component weights when selected; nothing records what remained.,Not testable: no scenario can produce consumption from selection.,BLOCKING,M1;M2,UNKNOWN in the semantic chain; no consumed column exists,A per-tray measurement of the remaining food.
U07,Direct food-waste measurement is unavailable.,It is the business question the data was meant to inform.,The documented waste system has no public records; the catalogue page reads TODO.,"Not testable: no lower or upper waste bound, band or proxy is produced.",BLOCKING,W1,BLOCKED / SOURCE GAP,Per-tray waste records joinable on tray_id.
U08,"The Turku weather station is a regional context, and r_1h is the hour ending at its timestamp.",A causal reading of weather would be unsupported.,"Station about 6 km away; hour-ending reading verified on one rainy day, not documented by FMI; three NaN values kept as NULL.","Under the timezone hypotheses, all 385 sessions in the shifted file join a different weather hour (mean temperature difference 1.231 C for +0h).",LOW,S1,Context only; no causal claim,On-site sensors or a documented FMI convention.
U09,Five weeks of data represent the measurement profile.,P90 is period dependent.,The first two weeks contain the shifted export and the name disagreement.,Excluding them moves M2 by -62.6 g (-6.0%); M1 by +6 g.,MEDIUM,M2,Full window kept; M2 quoted with its range,More weeks.
U10,"The diagnostic thresholds (B02, B07, T05, C02) describe this data and are not physical limits.",Turning a flag into an exclusion would change the metrics.,Thresholds sit in natural gaps of the observed distributions.,Applying B07 as an exclusion moves M2 by -19.1 g; any WARN as an exclusion by -24.6 g.,LOW,M2,Flags only,Physical limits from the scale vendor.
